308022	233698	3
305055	235033	2
301212	213104	4
303701	213033	2
312043	212375	1
300279	220585	1
302667	227696	4
312360	231838	3
313599	223164	1
300981	209114	2
303048	201714	5
313231	200344	2
309047	236100	1
307673	216616	6
307902	223455	1
301427	234671	4
314904	217994	5
305915	210014	2
303817	200356	6
304400	230173	7
312676	213931	1
303827	222280	3
300227	241027	1
300344	220258	1
300819	215115	4
307667	229792	2
312304	245840	1
300433	218769	3
301042	222736	2
304833	220752	6
309251	202991	2
310748	246365	3
303116	207323	4
314823	233054	1
308170	212295	5
305567	211018	2
309570	217722	5
312578	218076	4
300837	229700	3
312098	228711	6
314212	213618	2
313597	202003	4
313147	235175	2
311485	209355	4
309625	207898	4
309576	205197	4
301612	200950	1
305710	242651	1
311771	246840	2
300245	223023	3
302147	242011	2
302853	239268	3
301619	208407	3
300825	243955	1
304026	246080	2
310978	203237	5
306753	216505	4
304340	224648	2
305692	217039	1
314270	207360	2
301756	204184	3
314298	227001	5
301545	215185	2
309397	222450	2
308360	218430	5
303429	214980	2
307695	232672	6
309188	210966	3
311075	226595	4
308620	238609	5
314883	240631	4
301390	242213	3
302660	225578	1
307163	218448	1
308738	249991	3
302981	222226	1
304878	201598	4
305446	210700	3
306528	226061	6
308525	210229	3
314223	201521	1
312914	240904	5
301165	214021	4
301226	214640	1
307118	231496	3
308654	205417	1
313038	217213	2
303966	223475	2
300922	242840	3
307284	207384	2
301635	243647	3
314808	213656	4
311533	242032	1
303232	213101	3
310772	219637	4
311476	236966	1
307167	244653	5
311252	235019	2
310348	217458	4
302099	243618	1
307885	243195	2
314853	212071	1
307497	245491	4
313667	232434	4
308267	204528	1
312271	204253	2
308576	208213	3
311182	230186	4
306969	246092	4
313680	239125	5
311427	234741	5
300609	243376	1
310372	232762	1
307398	248285	1
310157	217331	1
314838	210122	1
305655	247128	5
313352	227356	1
305238	235045	2
302728	201711	10
300426	223939	4
309089	211817	2
312989	243221	3
313832	220841	2
313591	205881	4
303579	230702	5
302348	201205	4
302160	245496	4
305027	220896	2
308224	215166	6
301924	202130	1
307718	235876	2
307338	205714	2
300393	231234	1
306520	219927	2
313012	234716	4
300328	228646	2
305348	234956	5
301300	228339	3
303953	242676	4
302983	209869	5
307768	234876	1
300555	206680	1
302146	233681	2
308201	200717	2
309841	212047	3
303664	208931	6
305867	221837	2
313523	224489	1
306450	214582	2
304609	239344	1
303047	240554	5
302736	210485	2
301778	203237	1
306495	219378	3
300218	220909	2
312218	204807	1
310863	234775	6
311568	249867	2
305533	246672	1
307291	248444	1
307057	212402	5
304940	204799	4
302023	236594	5
311664	238764	3
309713	208405	2
310875	231886	4
312370	241142	1
306552	243616	3
302972	224482	1
303941	228690	1
314591	237280	5
314549	219911	3
307424	237397	2
309586	204230	4
314756	201711	2
314768	210218	3
310017	235033	5
304465	248199	3
311517	234794	1
306984	219112	5
302469	211842	1
312516	237301	1
313765	208958	4
312236	223294	1
312584	212775	3
310281	210690	2
311851	219855	3
302481	233685	2
308387	208977	5
301329	231112	1
303340	209927	1
301263	222913	6
308334	221123	1
309596	228060	1
314305	204369	1
310521	231455	3
310000	208224	3
308794	221888	1
302789	224032	2
302148	215065	1
306558	210471	1
307229	243703	2
307024	232255	1
302809	211360	3
307493	211728	1
314593	218608	2
300810	212466	2
310579	200088	1
302792	211447	1
304783	207973	4
309228	240856	2
300368	224727	1
313704	245908	4
300347	215932	5
310460	248590	2
311235	225467	1
309829	226837	4
311906	213309	5
313478	238590	6
303858	219901	3
300831	202762	1
304643	204320	4
300586	224106	3
314320	223052	2
304154	224893	3
307644	235218	4
310770	211958	3
311551	248548	3
313064	235092	4
308018	228235	4
305447	207020	3
302851	207858	1
304072	233885	1
300853	241675	1
311594	208719	5
304606	217991	3
314685	229855	1
309304	248767	5
304847	234444	1
304362	217525	3
302430	205354	1
306120	215801	4
310369	227602	5
308732	210466	2
312402	217507	1
307754	234789	3
312229	216528	1
311830	219640	7
310419	230762	1
302212	206722	3
307561	229529	2
306088	247139	3
310020	201554	6
313200	246050	5
305551	236780	4
306413	202268	1
303285	241802	4
308199	246842	4
304207	226669	5
310114	218572	3
302945	207193	4
304662	220963	5
306024	229632	3
304074	208533	4
303290	243365	5
309722	239248	1
305800	240868	1
300355	216498	2
312127	245285	3
314582	230752	1
302587	219924	5
310608	232003	2
305245	229005	3
313607	245636	2
304676	231159	2
304886	247711	1
308143	205021	1
309736	217539	1
300225	208848	1
302627	228654	3
314920	243938	3
314262	212825	2
314709	243677	3
310164	229907	1
308108	208588	4
301964	231905	1
301111	223477	4
307019	204928	4
300874	207046	2
307610	205428	3
312106	242935	1
303689	200601	2
300301	202255	2
313423	212302	5
306960	218200	1
314556	215949	2
306836	232896	1
304575	234887	2
303147	215576	3
306528	237335	1
309116	224734	4
301685	206136	2
303892	235238	2
313226	202367	1
313850	244050	3
308011	238747	4
309293	206832	1
312393	206520	1
302432	228375	4
309598	226341	1
302717	229190	6
304151	230384	3
311623	231210	2
303974	232923	4
310355	210539	2
308195	244472	2
305234	227629	3
310101	220283	5
304693	204488	4
313244	240101	1
306175	234649	1
304526	202644	1
311496	200569	5
305421	227392	2
305808	221580	5
304181	203378	2
303792	218358	1
313833	200663	1
303445	229393	1
306638	241579	1
307323	233156	3
313314	243706	1
311415	248776	3
307132	237008	1
312419	247991	1
311360	246111	1
313624	205456	2
303107	230920	1
304676	236481	5
300432	214919	1
301448	209638	2
313595	230311	1
304959	206029	6
307553	242718	3
300458	227290	4
300157	247592	2
305559	243574	5
314331	213816	2
307789	208446	1
304078	211684	3
307669	219135	4
300148	246576	1
314788	243599	3
300418	203351	1
310376	229079	5
311003	226303	1
307183	221705	2
305890	233271	4
310742	216553	4
300811	239455	6
301955	234979	1
300709	230782	1
314534	218757	2
313106	216960	2
303515	201444	5
300854	249188	1
307595	234801	1
308999	218749	4
314958	202498	2
304103	233728	3
308636	231856	1
300488	222970	4
304814	225243	4
304534	248059	1
311862	224990	1
305597	237886	1
311603	228552	1
305145	220120	3
311110	226309	1
305309	223297	2
314111	214490	1
312755	232653	3
312405	245913	3
308087	246922	4
304071	216390	2
301235	241067	2
313627	206031	1
303922	214333	4
312884	246472	3
313282	233751	3
309703	218150	1
303259	228098	1
313379	234373	2
307027	248911	7
302607	215650	1
313276	214901	3
312688	230749	3
302699	224542	1
312164	234796	3
301019	219102	2
304485	225981	1
305760	221912	1
300201	209244	1
310772	212827	4
311671	246530	1
309659	233048	4
312553	245182	2
306780	235134	5
